COD,Name,Date,Validity,Description,Category,Social,Byproducts,Deviance,Francoism (until 1978),Constitution (after 1978),European Union (after 1985),Crisis (After 2007),Population (Biopolitics),How - Population,Security (Conduct),How - Security,Territory (Sovereignty),How - territory,Ecology,How - ecology,Economics,How - economics,Terrorism,How - terrorism,Toxicity,How - toxicity,Gender,How - gender,Sexuality,How - sexuality,Race,How - race,Class,How - class
DMRDMA_19,Real decreto de 22 de agosto de 1885 por el que se publica el Código de Comercio.,22/08/1901,1885-2015,"Art. 1. Son comerciantes para los efectos de este Código: 1.º Los que, teniendo capacidad legal para ejercer el comercio, se dedican a él habitualmente. 2.º Las compañías mercantiles o industriales que se constituyeren con arreglo a este Código. Art. 2. Los actos de comercio, sean o no comerciantes los que los ejecuten, y estén o no especificados en este Código, se regirán por las disposiciones contenidas en él; en su defecto, por los usos del comercio observados generalmente en cada plaza, y, a falta de ambas reglas, por las del Derecho común. Serán reputados actos de comercio los comprendidos en este Código y cualesquiera otros de naturaleza análoga.",F,Yes,No,No,Yes,Yes,Yes,Yes,Yes,"Persona_jurídica, Actividades_económicas, Afecta_Deudor_hipotecario, Afecta_Deudor, Persona_natural_física, Afecta_acreedor",Yes,"Sujetos_obligados_al_pago, Mecanismos_de_responsabilidad, Riesgo_insolvencia",Yes,"Potencias_europeas, España, Seguridad_marítima, Territorio_nacional_estado_miembro, Persona_jurídica¡",No,No,Yes,"Actividad_empresas, Entidades_financieras_crédito, Intervención_administrativa, Banca_privada, Crédito, Insolvencia, Comercialización, Creación_empresas, Sistema_bancario, Hipoteca",No,No,No,No,Yes,"Women_role, Matrimonio_hombre_mujer, Hipoteca_dotal, Mujer_casada",No,No,Yes,Extranjero,Yes,"Afecta_Deudor_hipotecario, Afecta_Deudor"
DMRDMO_1,Real Decreto-Ley de 28 de junio de 1927 estableciendo el Monopolio de Petróleos,28/06/1927,1927-1947,"in the 1920s when oil enters the Spanish legal discourse. In 1927 and 1928 with the allocation of the fossil fuel monopoly to the “Compañía Arrendataria del Monopolio de Petróleos sociedad Anónima” (CAMPSA), is formed in the name of national sovereignty: “El petróleo es un factor industrial  básico; es, asimismo, elemeto sustantivo para la defensa nacional” (1927: 59). ",O,Yes,No,No,Yes,No,No,No,Yes,Estímulo_orden_social,No,No,Yes,"Defensa_nacional, Nacionalización, Necesidad_interior, Potencias_europeas, Español_extranjero   ",No,No,Yes,"Hidrocarburos, Factor_industrial_básico, Estímulo_orden_económico, Monopolio, Consumidor_productor",No,No,No,No,No,No,No,No,No,No,No,No
DMLMA_8,"Ley de 23 de Febrero de 1940, sobre de las Bolsas de Comercio, prohibición de operaciones de plazo fijo, clausura del mercado libre de valores de Barcelona y cesión de dobles al Estado",23/02/1940,1940-1988,"Francoist law on ""Mercado de Valores"" after de war",F,Yes,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,
DMLMO_6,Ley de 25 de septiembre de 1941 de creación del Instituto Nacional de Industria (INI),25/09/1941,1941-1995,Se creo el INI com entidad de derecho public cuyo objetivo era “propulsar y financiar en servicio de la nación la creación y resurgimiento de nuestras industrias”. El INI se configure como un intrumento de apoyo a la política de autarquía econónica impuesta por un Estado autoritario,O,Yes,No,No,Yes,Yes,No,No,Yes,"Principios_del_movimiento, Destino_histórico",No,No,Yes,"Defensa_nacional, Interés_de_la_patria",No,No,Yes,"Hidrocarburos, Factor_industrial_básico, Estímulo_orden_económico, Autarquía_económica, Byproducts",No,No,No,No,No,No,No,No,No,No,No,No
DCLMA_2,Ley de 5 de diciembre de 1941 por la que se adicionan al Código Civil nuevos artículos sobre prendas sin desplazamiento o hipoteca mobiliaria.,05/12/1941,1941-1954,"First law of ""Hipoteca Mobiliaria""",F,No,Yes,No,Yes,No,No,No,Yes,"Persona_jurídica, Bienestar_social, Familia, Afecta_Deudor_hipotecario, Afecta_Deudor, Persona_natural_física, Afecta_acreedor",Yes,"Mecanismos_de_responsabilidad, Responsabilidad_penal, Riesgo_insolvencia, Riesgo_sistémico, Buena_fe",Yes,"Necesidad_interior, Reconstrucción_nacional, Función_esencial, Instituto_crédito_reconstrucción_nacional",No,No,Yes,"Industria_turística, Estructuras_industriales_comerciales, Crédito, Insolvencia, Propiedad_mobiliaria, Solvencia, Prenda, Hipoteca, Vehículos_automóviles, Sector_hipotecario",No,No,Yes,Prácticas_que_incrementen_riesgo_insolvencia,No,No,No,No,No,No,Yes,"Afecta_Deudor_hipotecario, Afecta_Deudor"
VPLMA_2,"Ley de 25 de noviembre de 1944 sobre reducción de contribuciones e impuestos en la construcción de casas de renta para la denominada ""clase media""",25/11/1944,1944-1952,las actividades de la construcción […] influyen sobre los índices de paro,F,No,Yes,No,Yes,No,No,No,Yes,"Creación_de_empleo, Riqueza_conjunto_sociedad, Riesgo_salud_humana, Peligro_Salud_hombre, Bienestar_social, Interés_del_país, Impulsar_propiedad_vivienda, Factores_económicos_sociales_culturales, Clase_media",Yes,"Mecanismos_de_responsabilidad, Valoración_daños, Programación_social_económica",Yes,"España, Territorio_nacional, Soberanía, Guerra_liberación, Reconstrucción_nacional",No,No,Yes,"Expropiación_forzosa, Política_de_vivienda, Construcción_obras_públicas, Construcción_inmuebles_vivendas ",No,No,Yes,Desempleo,No,No,No,No,No,No,Yes,Clase_media
DCLMA_1,Ley Hipotecaria de 30 de diciembre de 1944  ,30/12/1944,1944-1947,first Ley Hipotecaria under Franco,F,No,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,
CDMA_1,"Decreto 779/1967, de 20 de abril, por el que se aprueban los textos refundidos de las Leyes Fundamentales del Reino.",17/07/1945,1945-1978,"El ejercicio de los derechos que se reconocen en este Fuero no podrá atentar a la unidad espiritual, nacional_y social de España.",F,Yes,No,No,Yes,No,No,No,Yes,"Principios_del_movimiento, Afecta_trabajadores, Crecimiento_económico_progreso_desarrollo, Peligro_Salud_hombre, Salud_vidas_humanas, Bienestar_social, Familia, Justicia_social, Bien_comun_nación, Impulsar_propiedad_vivienda, Libertad, Detención_preventiva, Paz, Razón_moral, Iglesia_católica, Conciencia_nacional, Valores_económicos_subórdinados_a_social, Salud_física_moral",Yes,Mecanismos_de_responsabilidad,Yes,"Interés_de_la_patria, Cruzada_nacional, Soberanía_estatal, Soberanía, Unidad_hombres_tierras_españa, Nación_indisoluble",No,No,Yes,"Actividad_empresas, Crecimiento_económico_progreso_desarrollo, Política_de_vivienda, Intervención_administrativa, Crédito",No,No,No,No,Yes,"Persona_varón_maneja_producto, Matrimonio_hombre_mujer, Comunidad_nacional_se_funda_en_el_hombre",No,No,No,No,No,No
DCDMA_1,Decreto de 8 de febrero de 1946 por el que se aprueba la nueva redacción oficial de la Ley Hipotecaria.,08/02/1946,1946-2015,Contemporary Spanish Mortgage legislation,F,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Afecta_Deudor_hipotecario, Afecta_Deudor, Modernización, Afecta_acreedor",Yes,"Sujetos_obligados_al_pago, Mecanismos_de_responsabilidad, Obligaciones_asumidas",Yes,España,No,No,Yes,"Sector_inmobiliario_mercado, Hipoteca, Sector_hipotecario, ",No,No,No,No,Yes,"Women_role, Hipoteca_dotal, Mujer_casada",No,No,No,No,Yes,"Afecta_Deudor_hipotecario, Afecta_Deudor"
DMLMA_1,Ley de 31 de diciembre de 1946 de Ordenación Bancaria.,31/12/1946,1946-2014,"The 1946 law of “Ordenación Bancaria” was reorganized first in 1962, just before the first “Plan de desarrollo”. The former law extended the privilege of the Bank of Spain to issue notes and the latter nationalized the Bank of Spain. In 1946 the law explained that, “al Gobierno corresponde dictar las normas generales de la política del crédito; el privilegio de emisión, en toda circunstancia” (1946: 111). ",F,Yes,No,No,Yes,Yes,Yes,Yes,Yes,"Dominio_público, Persona_jurídica, Interés_público",Yes,Responsabilidad_gobierno,Yes,"Interés_de_la_patria, Interés_nacional, Territorio_nacional_estado_miembro, Gobierno, Soberanía, Trascendencia_nacional, Nuestra_Política_crediticia_sistema_crediticio, Banco_España, Posesiones_españolas",No,No,Yes,"Monopolio, Servicio_público, Deuda, Intervención_administrativa, Emisión_billetes, Política_crediticia_sistema_crediticio, Capital_privado, Banca_privada, Préstamo_ultramar_ Capital_extranjero, Crédito",No,No,No,No,No,No,No,No,No,No,No,No
